concept_id,english_binding,eligible,query_hash,retrieved_chunk_ids,gold_rank,top1,top3,top1_chunk,primary_error_chunk,score_margin,primary_attribution
cx-7f01,matched,True,fa643ebb7ef07fafbc8d31d0bf7ee9da02a3590b31693d73d8e693dfa44e3f17,zh-s14-p01|zh-s14-p04|zh-s11-p01,1,True,True,zh-s14-p01,zh-s14-p04,0.0138369,CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f02,ambiguous,False,,,,False,False,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f03,ambiguous,False,,,,False,False,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f04,missing,False,,,,False,False,,,,UPSTREAM_ENGLISH_EXTRACTION_MISSING
cx-7f05,matched,True,7d1eb964e91927c84865f700fffdef2629f2cbca0f9fc264edb890ea9b5fca9a,zh-s12-p03|zh-s12-p02|zh-s12-p04,1,True,True,zh-s12-p03,,,CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f06,ambiguous,False,,,,False,False,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f07,ambiguous,False,,,,False,False,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f08,missing,False,,,,False,False,,,,UPSTREAM_ENGLISH_EXTRACTION_MISSING
cx-7f09,matched,True,d3054e046b03796f0505d24da11015cc0a9bf99864aa8215ff0eb86937a5fa67,zh-s14-p02|zh-s12-p03|zh-s14-p04,1,True,True,zh-s14-p02,zh-s12-p03,0.00642277,CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f10,matched,True,9e346f2ad4eed1340936215ca786f7ddc4260b4f9106d26d01167392b70af2c0,zh-s14-p02|zh-s12-p03|zh-s14-p04,1,True,True,zh-s14-p02,zh-s12-p03,0.010115,CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f11,matched,True,55c6589e044e261fd648fa6aaed22fc4bfd3f327d4e8b2f3778737d0420544ff,zh-s14-p01|zh-s14-p04|zh-s11-p01,1,True,True,zh-s14-p01,zh-s14-p04,0.01416148,CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f12,matched,True,6ba8201ffbd2cda82961ccbaf9b313b53479d9c232590966ffac51ca584bb5c7,zh-s14-p01|zh-s14-p04|zh-s11-p01,1,True,True,zh-s14-p01,zh-s14-p04,0.01645518,CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f13,matched,True,65d96d5176e56deeff6d8974634c52b8c63e80bd5abc07222f722dfb2167e295,zh-s14-p04|zh-s14-p03|zh-s14-p02,2,False,True,zh-s14-p04,zh-s14-p04,-0.00016191,CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f14,matched,True,439b60f64bd68fc0b96724f9de5defb95268c34b27e379c07b28903f9416e69e,zh-s11-p04|zh-s12-p02|zh-s14-p02,1,True,True,zh-s11-p04,zh-s12-p02,0.00058753,CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f15,matched,True,ac88e130a8a702aa3e497a85079c03c37d76b534445f293f2dfdb8fbf18c5b7b,zh-s14-p02|zh-s14-p03|zh-s14-p04,2,False,True,zh-s14-p02,zh-s14-p02,-0.00194925,CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f16,missing,False,,,,False,False,,,,UPSTREAM_ENGLISH_EXTRACTION_MISSING
cx-7f17,matched,True,392364373e6c999cea0b425d82eb866b00c745efaffb7902c987b9915b35c51e,zh-s12-p02|zh-s12-p03|zh-s11-p03,,False,False,zh-s12-p02,zh-s12-p02,,CROSS_LANGUAGE_RETRIEVAL_MISS
cx-7f18,matched,True,f3728f583870a66d584d98173c89bacf97308c7ffdf061fb2db5f6556b17417e,zh-s11-p03|zh-s12-p02|zh-s11-p01,1,True,True,zh-s11-p03,zh-s12-p02,0.00998848,CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f19,matched,True,7d394c8259a0d4a1d5595246c004b44741a995111ace9fc09b54969c06bdc5dd,zh-s12-p02|zh-s11-p04|zh-s11-p01,,False,False,zh-s12-p02,zh-s12-p02,,CROSS_LANGUAGE_RETRIEVAL_MISS
cx-7f20,matched,True,dab1526c4b93afceb18f5bca94404786faff608f03b6fe2bb365724c64e855f6,zh-s11-p01|zh-s14-p01|zh-s12-p03,1,True,True,zh-s11-p01,zh-s14-p01,0.00583741,CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f21,matched,True,d6d581024f97a739b2e5ca153d390a01f439d73ec67b47ffaec68867eb211743,zh-s13-p01|zh-s14-p04|zh-s13-p02,1,True,True,zh-s13-p01,zh-s14-p04,0.00116417,CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f22,matched,True,834627dcad3348b5b8083821ca198476cd03a09924623e993c9b709c9678865e,zh-s14-p01|zh-s14-p04|zh-s13-p01,,False,False,zh-s14-p01,zh-s14-p01,,CROSS_LANGUAGE_RETRIEVAL_MISS
cx-7f23,matched,True,60ccff9d220b203aeaee0492ea697829f6e6c31a46d2d5d01fb49d6b6e36e905,zh-s13-p01|zh-s14-p04|zh-s13-p02,1,True,True,zh-s13-p01,zh-s14-p04,0.00476284,CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f24,matched,True,41a82aa93b785c59a4f3e19758b5b1e01084969aa4492afc9f70f90a995612a3,zh-s13-p01|zh-s13-p02|zh-s14-p01,1,True,True,zh-s13-p01,zh-s14-p01,0.00666471,CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f25,matched,True,725620f7532dbef8d5dd3547a96e616091a12b588b68814d6c350c0802c5f058,zh-s13-p02|zh-s13-p01|zh-s14-p01,1,True,True,zh-s13-p02,zh-s13-p01,0.00397822,CHINESE_TERM_IDENTIFICATION_MISSING
