concept_id,benchmark_status,source_term_present,parsed_text_term_present,chunk_term_present,exact_candidate_present,near_candidate_present,overlong_candidate_present,fragmented_candidate_present,normalization_status,binding_status,earliest_failure_stage,primary_attribution,secondary_observations,included_in_denominator
physics-01,BENCHMARK_SOURCE_VALID,True,True,True,False,False,False,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-02,BENCHMARK_SOURCE_VALID,True,True,True,False,True,True,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-03,BENCHMARK_SOURCE_VALID,True,True,True,False,False,False,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-04,BENCHMARK_SOURCE_VALID,True,True,True,False,True,True,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-05,BENCHMARK_SOURCE_VALID,True,True,True,False,True,True,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-06,BENCHMARK_SOURCE_VALID,True,True,True,False,False,False,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-07,BENCHMARK_SOURCE_VALID,True,True,True,False,True,True,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-08,BENCHMARK_SOURCE_VALID,True,True,True,False,True,True,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-09,BENCHMARK_SOURCE_VALID,True,True,True,False,False,False,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-10,BENCHMARK_SOURCE_VALID,True,True,True,False,False,False,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
