concept_id,english_query_summary,english_context_used,query_language,query_translated,source_language_filter,source_role_filter,retrieved_chinese_source_ids,retrieved_chunk_ids,gold_bearing_chunk_rank,retrieval_score,retrieval_score_observation,lexical_overlap,english_string_direct_hit,fixture_template_leakage,term_identification_mechanism,semantic_pairing_performed,selected_chinese_candidate_summary,selected_candidate_confidence,candidate_source_refs,candidate_chunk_refs,prepared_english_evidence_refs,prepared_chinese_evidence_refs,readiness_status,provider_ready,readiness_interpretation,included_in_denominator
physics-01,displacement,False,en,False,zh,chinese_reference_material,chinese-mechanics,4e3d1232-2e75-4fb4-b252-10d018830822,1,0.94,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,位移是从初位置指向末位置的位置变化量,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,4e3d1232-2e75-4fb4-b252-10d018830822,,4e3d1232-2e75-4fb4-b252-10d018830822,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-02,velocity,False,en,False,zh,chinese_reference_material,chinese-mechanics,807d900a-f617-4dc2-aa0c-6d8b8e272afd|762bd98e-5665-4842-a8b0-01ac4d536efd|f2896d6f-2e3a-4b2c-8df8-93229d3cd488,2,0.94,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,速度描述位移随时间变化的快慢和方向,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0|23cec898-65e4-4418-a0ed-6b6a9d12b3d0,762bd98e-5665-4842-a8b0-01ac4d536efd|f2896d6f-2e3a-4b2c-8df8-93229d3cd488,,f2896d6f-2e3a-4b2c-8df8-93229d3cd488,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-03,acceleration,False,en,False,zh,chinese_reference_material,chinese-mechanics,7100697d-e636-40b8-9e22-de15e8e1c58f,1,0.94,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,加速度是速度随时间变化的率,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,7100697d-e636-40b8-9e22-de15e8e1c58f,,7100697d-e636-40b8-9e22-de15e8e1c58f,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-04,force,False,en,False,zh,chinese_reference_material,chinese-mechanics,9d3b486d-3984-471c-aec4-1d803d625fc1|5abb012e-8243-4894-82e0-76742152becd,1,0.94,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,力是能够改变物体运动状态的相互作用,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0|23cec898-65e4-4418-a0ed-6b6a9d12b3d0,9d3b486d-3984-471c-aec4-1d803d625fc1|5abb012e-8243-4894-82e0-76742152becd,,5abb012e-8243-4894-82e0-76742152becd,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-05,mass,False,en,False,zh,chinese_reference_material,chinese-mechanics,975f4543-82d6-4a59-8077-4a2e72344627,1,0.94,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,质量表示物体所含物质多少,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,975f4543-82d6-4a59-8077-4a2e72344627,,975f4543-82d6-4a59-8077-4a2e72344627,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-06,inertia,False,en,False,zh,chinese_reference_material,chinese-mechanics,626ad9fd-0f18-41a3-bc9f-4a3e7a592676,1,0.94,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,惯性是物体保持原有运动状态的性质,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,626ad9fd-0f18-41a3-bc9f-4a3e7a592676,,626ad9fd-0f18-41a3-bc9f-4a3e7a592676,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-07,momentum,False,en,False,zh,chinese_reference_material,chinese-mechanics,807d900a-f617-4dc2-aa0c-6d8b8e272afd|8e6d67c5-6adc-474c-99b7-5f9ea56aa7f3|c5c43939-8c36-4377-9845-881ed3cd97fe,2,0.94,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,动量是物体质量与速度的乘积,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0|23cec898-65e4-4418-a0ed-6b6a9d12b3d0|23cec898-65e4-4418-a0ed-6b6a9d12b3d0,8e6d67c5-6adc-474c-99b7-5f9ea56aa7f3|c5c43939-8c36-4377-9845-881ed3cd97fe|c4067d8d-d979-4e3d-a822-f934936e4079,,c4067d8d-d979-4e3d-a822-f934936e4079,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-08,impulse,False,en,False,zh,chinese_reference_material,chinese-mechanics,807d900a-f617-4dc2-aa0c-6d8b8e272afd|c741e1b3-95bb-42d6-a4bc-fa1716f0a0fd,2,0.94,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,冲量是力与作用时间间隔的乘积,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,c741e1b3-95bb-42d6-a4bc-fa1716f0a0fd,,c741e1b3-95bb-42d6-a4bc-fa1716f0a0fd,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-09,kinetic energy,False,en,False,zh,chinese_reference_material,chinese-mechanics,99d2ec9b-56fb-47c1-be4c-ae0202f9a56c|807d900a-f617-4dc2-aa0c-6d8b8e272afd|61bd859b-4a70-46e0-b6ef-6b77ddc8d152,1,0.96,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,动能是物体由于运动而具有的能量,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,99d2ec9b-56fb-47c1-be4c-ae0202f9a56c,,99d2ec9b-56fb-47c1-be4c-ae0202f9a56c,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-10,gravitational potential energy,False,en,False,zh,chinese_reference_material,chinese-mechanics,b6ecd6cd-27a5-4aaa-b3d7-37fb767c7985|72415cf8-460b-4d3f-b470-5b2fb8f234ce|0f882be2-0c53-4b40-a49d-0a75f251c2ed,1,0.97,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,重力势能是物体因高度和重力场而具有的势能,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,b6ecd6cd-27a5-4aaa-b3d7-37fb767c7985,,b6ecd6cd-27a5-4aaa-b3d7-37fb767c7985,evidence_insufficient,False,formal evidence preparation insufficient,True
