concept_id,english_candidate_id,english_normalized_term,gold_chinese_term,accepted_chinese_aliases,chinese_source_id,gold_term_in_source,gold_term_in_parsed_text,gold_term_in_chunk,retrieved_chunk_ids,gold_bearing_chunk_retrieval_rank,generated_chinese_candidate_ids,generated_candidate_source_ids,generated_candidate_chunk_ids,generated_candidate_summaries,candidate_confidences,exact_candidate_rank,alias_candidate_rank,selected_chinese_candidate,bilingual_pair_status,evidence_readiness_status,earliest_failure_stage,primary_attribution,secondary_observations,included_in_denominator
physics-01,1798d57364bd48318981f93b7d394e1d,displacement,位移,[],chinese-mechanics,True,True,True,"[""94c97257-55f3-495e-a576-3791b61d8ccb""]",1,"[""fcc8db09be88c937c8a90e8a""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""94c97257-55f3-495e-a576-3791b61d8ccb""]","[""位移是从初位置指向末位置的位置变化量""]",[0.81],,,位移是从初位置指向末位置的位置变化量,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-02,a67733995f4b4fa0a0fc0663cd0be2bf,velocity,速度,[],chinese-mechanics,True,True,True,"[""bcbd9280-1c14-4cab-807c-f186acb3999c"",""62b83b11-4048-4827-bea1-3c3f4518ea1e"",""b8cc85b2-e92a-4c00-93a3-0214db622642""]",2,"[""a5eac44b249a6982aca3d14f"",""33ad6421620b8d3ce6fbc6cb""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1"",""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""62b83b11-4048-4827-bea1-3c3f4518ea1e"",""b8cc85b2-e92a-4c00-93a3-0214db622642""]","[""角速度是角位置随时间变化的率"",""速度描述位移随时间变化的快慢和方向""]","[0.81,0.81]",,,速度描述位移随时间变化的快慢和方向,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""multiple_equal_score_candidates"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-03,d23bbb21cd93411297c8c4b4c8ea4017,acceleration,加速度,[],chinese-mechanics,True,True,True,"[""f0f7433d-879b-4c40-9a64-ecfb9bf72c78""]",1,"[""93e5f9839e7252812b1e2cd5""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""f0f7433d-879b-4c40-9a64-ecfb9bf72c78""]","[""加速度是速度随时间变化的率""]",[0.81],,,加速度是速度随时间变化的率,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-04,20e2a18ecd584a359c266cb4779ac2db,force,力,[],chinese-mechanics,True,True,True,"[""7c6c87eb-0cb8-47a0-8f59-7cb5e2af5c8e"",""f8271e83-beae-4981-af0a-e1dd2a59c999""]",1,"[""1345ef69f3d68e5db7ec4d7d"",""fd614f6689ddffbed3c0afb9""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1"",""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""7c6c87eb-0cb8-47a0-8f59-7cb5e2af5c8e"",""f8271e83-beae-4981-af0a-e1dd2a59c999""]","[""向心力是维持圆周运动所需的指向圆心的合力"",""力是能够改变物体运动状态的相互作用""]","[0.81,0.81]",,,向心力是维持圆周运动所需的指向圆心的合力,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""multiple_equal_score_candidates"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-05,ed6788c08b3d4163ab9ed98e794a7272,mass,质量,[],chinese-mechanics,True,True,True,"[""62da353f-d6af-49d5-b2ba-acd0ca3b8553""]",1,"[""cb1fd83539873bff0a527526""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""62da353f-d6af-49d5-b2ba-acd0ca3b8553""]","[""质量表示物体所含物质多少""]",[0.81],,,质量表示物体所含物质多少,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-06,5bde5405e2974890bf1761868d9a443b,inertia,惯性,[],chinese-mechanics,True,True,True,"[""bef44bb4-634f-488b-a39c-9ba11b54bd56""]",1,"[""95b1eb3a9571fd2ae798431a""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""bef44bb4-634f-488b-a39c-9ba11b54bd56""]","[""惯性是物体保持原有运动状态的性质""]",[0.81],,,惯性是物体保持原有运动状态的性质,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-07,0eb4b09b9e674383b7e06171f809a4c9,momentum,动量,[],chinese-mechanics,True,True,True,"[""bcbd9280-1c14-4cab-807c-f186acb3999c"",""d825824f-49f7-4368-90b4-09b60005b9ff"",""81913ef7-de44-4a44-9786-96c3d5230057"",""3c4bd66f-66fa-49c9-973a-b7f7cd80aa8a""]",2,"[""e85551db8a3d941b01d550c1"",""f567b0cb70dc43ccd022e25b"",""6d2b00dbbcdb9392eeca80b6""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1"",""beba57f0-d986-4418-a0a6-e3146f5a8af1"",""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""d825824f-49f7-4368-90b4-09b60005b9ff"",""81913ef7-de44-4a44-9786-96c3d5230057"",""3c4bd66f-66fa-49c9-973a-b7f7cd80aa8a""]","[""角动量描述转动运动"",""动量守恒定律说明孤立系统总动量保持不变"",""动量是物体质量与速度的乘积""]","[0.81,0.81,0.81]",,,动量是物体质量与速度的乘积,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""multiple_equal_score_candidates"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-08,dd4515d36bd44ed2afc59836d0ba2518,impulse,冲量,[],chinese-mechanics,True,True,True,"[""bcbd9280-1c14-4cab-807c-f186acb3999c"",""a9340902-8170-4dde-8be4-c581dfcfbadf""]",2,"[""4d01e81a15145591035bf315""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""a9340902-8170-4dde-8be4-c581dfcfbadf""]","[""冲量是力与作用时间间隔的乘积""]",[0.81],,,冲量是力与作用时间间隔的乘积,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-09,afcb0beeb3f64a38b3572b1ed00976d3,kinetic energy,动能,[],chinese-mechanics,True,True,True,"[""73d1177f-babc-4b37-94b8-23ca4389717d"",""bcbd9280-1c14-4cab-807c-f186acb3999c"",""6b9f498e-9302-4b4c-b532-8fd3ccfe8716"",""d1aefbcb-1bfe-429a-9897-0ff525d7dc7c"",""4731a2f5-8d7e-4a4c-827d-9cbe19e51a2c""]",1,"[""18232cb2bb88a63d62a54044""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""73d1177f-babc-4b37-94b8-23ca4389717d""]","[""动能是物体由于运动而具有的能量""]",[0.81],,,动能是物体由于运动而具有的能量,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-10,036c261532eb4e54a62dca20ddedf875,gravitational potential energy,重力势能,[],chinese-mechanics,True,True,True,"[""4731a2f5-8d7e-4a4c-827d-9cbe19e51a2c"",""bfb5c14d-ced3-4856-bd77-6c313c381fb9"",""651339ac-5afe-4e4e-b27d-dbe9cb749562"",""6092d509-0d73-4805-a22a-e293255797cd"",""bcbd9280-1c14-4cab-807c-f186acb3999c"",""6b9f498e-9302-4b4c-b532-8fd3ccfe8716"",""d1aefbcb-1bfe-429a-9897-0ff525d7dc7c"",""73d1177f-babc-4b37-94b8-23ca4389717d""]",1,"[""2d39550a285af22d7b5fa912""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""4731a2f5-8d7e-4a4c-827d-9cbe19e51a2c""]","[""重力势能是物体因高度和重力场而具有的势能""]",[0.81],,,重力势能是物体因高度和重力场而具有的势能,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
